Gear_name,Gear_code,Multiplier_to_be_applied_to_activity
Pole_and_line,PL,1
Longlines,LL,1
Illegal_longlines,ILL,1
Hand_lines,HL,1
Handlines_and_dip-nets_(bait),HD,1
Illegal_purse_seine,IPS,1
Pots_and_hand_gathering,PH,1
NA,NA,1
NA,NA,1
NA,NA,1
NA,NA,1
NA,NA,1
