"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.026337625195758,2.47434319364698e-08,0.00737632768778624,40.5044690527057,NA,3.20507122684157e-08,NA,0.0503108038571948
"phyt_s",NA,NA,24.5646104409641,2.78907988735995,NA,0.116970863797431,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0759242190080339,NA,NA
"omnivzoo",NA,NA,2.50793256072964,1.3620797581385,NA,2.15031322805899e-05,NA,NA
"carnzoo",NA,NA,0.0745650708957094,0.528869172618063,NA,0.000176957807046813,NA,0.00283147109586066
"fishplar",NA,NA,0.569906169752484,2.29511517285381,NA,4.65513738019571e-06,NA,NA
"fishdlar",NA,NA,0.29024523327199,2.94081631197376,NA,5.16457535868471e-07,NA,NA
"fishp",NA,NA,0.110216520347357,2.09431064996626,NA,6.05238495092968e-05,0.00118774331943573,0.757210580492836
"fishm",NA,NA,0.112353011586396,5.39375306040537,NA,1.43636995734405e-05,2.1050840416344e-05,0.608303942830487
"fishd",NA,NA,0.0146342977772373,0.944255053205231,NA,2.45547897146017e-05,0.00250960554332297,0.567070425095946
"benthslar",NA,NA,0.329354722292288,0.476039454472237,NA,1.15132204642136e-05,NA,NA
"benthclar",NA,NA,2.04439985275792,1.5479703289296,NA,2.34696578326406e-07,NA,NA
"benths",NA,NA,0.350390579564313,1.36251973995411,NA,9.50165193107581e-05,NA,0.0277752842933581
"benthc",NA,NA,0.0158300513930256,14.7179432840004,NA,0.000189971471080272,NA,0.206787119844021
"bird",NA,NA,0.18,0.625115613,3654.767819,0.008120442,9.40416096072696e-09,0.127690680074703
"seal",NA,NA,0.378176702,1.748097689,2515.832372,0.005167412,0.00794237448577428,0.113900923339054
"ceta",NA,NA,0.040546733,0.553634146,867.646529,0.010210268,1.1255967252512e-08,0.52692040225351
